,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersInpadj,,,,,,,,,,,,,,,,,,
147,GO:0006474,N-terminal protein amino acid acetylation,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
148,GO:0036066,protein O-linked fucosylation,3,1,0.34,0.2993,0.92014527,,,,,,,,,,,,,,,,,,
149,GO:0006869,lipid transport,33,6,3.69,0.3019,0.921909396,,,,,,,,,,,,,,,,,,
150,GO:0008654,phospholipid biosynthetic process,34,5,3.8,0.3523,1,,,,,,,,,,,,,,,,,,
151,GO:0070286,axonemal dynein complex assembly,11,2,1.23,0.3527,1,,,,,,,,,,,,,,,,,,
152,GO:0006338,chromatin remodeling,11,2,1.23,0.3527,1,,,,,,,,,,,,,,,,,,
153,GO:0018216,peptidyl-arginine methylation,11,2,1.23,0.3527,1,,,,,,,,,,,,,,,,,,
154,GO:0002098,tRNA wobble uridine modification,11,2,1.23,0.3527,1,,,,,,,,,,,,,,,,,,
155,GO:1901137,carbohydrate derivative biosynthetic process,97,16,10.84,0.3744,1,,,,,,,,,,,,,,,,,,
156,GO:0000070,mitotic sister chromatid segregation,13,4,1.45,0.3763,1,,,,,,,,,,,,,,,,,,
157,GO:0006402,mRNA catabolic process,22,4,2.46,0.377,1,,,,,,,,,,,,,,,,,,
158,GO:0043666,regulation of phosphoprotein phosphatase activity,4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
159,GO:0006269,"DNA replication, synthesis of RNA primer",4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
160,GO:0032543,mitochondrial translation,4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
161,GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
162,GO:0006378,mRNA polyadenylation,4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
163,GO:0034227,tRNA thio-modification,4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
164,GO:0007099,centriole replication,4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
165,GO:0071985,multivesicular body sorting pathway,4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
166,GO:0007064,mitotic sister chromatid cohesion,4,1,0.45,0.3777,1,,,,,,,,,,,,,,,,,,
167,GO:0006486,protein glycosylation,39,9,4.36,0.3849,1,,,,,,,,,,,,,,,,,,
168,GO:0006749,glutathione metabolic process,17,4,1.9,0.3932,1,,,,,,,,,,,,,,,,,,
169,GO:0030431,sleep,12,2,1.34,0.3948,1,,,,,,,,,,,,,,,,,,
170,GO:0032222,"regulation of synaptic transmission, cholinergic",12,2,1.34,0.3948,1,,,,,,,,,,,,,,,,,,
171,GO:1903818,positive regulation of voltage-gated potassium channel activity,12,2,1.34,0.3948,1,,,,,,,,,,,,,,,,,,
