,GO.ID,Term,Annotated,Significant,Expected,Fisher,WorkersOutpaj,,,,,,,,,,,,,,,,,,
91,GO:0006658,phosphatidylserine metabolic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
92,GO:0006685,sphingomyelin catabolic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
93,GO:0043517,"positive regulation of DNA damage response, signal transduction by p53 class mediator",2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
94,GO:0055070,copper ion homeostasis,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
95,GO:0006729,tetrahydrobiopterin biosynthetic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
96,GO:0009408,response to heat,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
97,GO:0032958,inositol phosphate biosynthetic process,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
98,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,2,1,0.2,0.19263,0.811797857,,,,,,,,,,,,,,,,,,
99,GO:0007166,cell surface receptor signaling pathway,71,9,7.2,0.22463,0.937092828,,,,,,,,,,,,,,,,,,
100,GO:0030001,metal ion transport,77,11,7.81,0.22826,0.940822178,,,,,,,,,,,,,,,,,,
101,GO:0008272,sulfate transport,9,2,0.91,0.23008,0.940822178,,,,,,,,,,,,,,,,,,
102,GO:0022900,electron transport chain,26,4,2.64,0.27418,1,,,,,,,,,,,,,,,,,,
103,GO:0043087,regulation of GTPase activity,12,2,1.22,0.27452,1,,,,,,,,,,,,,,,,,,
104,GO:0006829,zinc ion transport,3,1,0.3,0.27458,1,,,,,,,,,,,,,,,,,,
105,GO:0046854,phosphatidylinositol phosphorylation,3,1,0.3,0.27458,1,,,,,,,,,,,,,,,,,,
106,GO:0016079,synaptic vesicle exocytosis,3,1,0.3,0.27458,1,,,,,,,,,,,,,,,,,,
107,GO:0001736,establishment of planar polarity,3,1,0.3,0.27458,1,,,,,,,,,,,,,,,,,,
108,GO:0007023,post-chaperonin tubulin folding pathway,3,1,0.3,0.27458,1,,,,,,,,,,,,,,,,,,
109,GO:0006783,heme biosynthetic process,3,1,0.3,0.27458,1,,,,,,,,,,,,,,,,,,
110,GO:0000338,protein deneddylation,3,1,0.3,0.27458,1,,,,,,,,,,,,,,,,,,
111,GO:0009113,purine nucleobase biosynthetic process,3,1,0.3,0.27458,1,,,,,,,,,,,,,,,,,,
112,GO:0006886,intracellular protein transport,84,10,8.52,0.28519,1,,,,,,,,,,,,,,,,,,
